id,seed,rue_efficiency_factor,pest_infection_prob,pest_daily_increment,toxicity_per_straw_unit,solar_rad_threshold,max_diffuse_bonus,max_light_limit,steepness_factor,error_yield,error_pesticide,fitness
164,8.55411063835043E18,0.65,0.7,0.04,0.093,19.0,0.3,23.8,4.5,0.06331337830717088,0.08544229138521803,0.21206904799955978
165,8.55411063835043E18,0.65,0.7,0.04,0.093,19.0,0.6,23.8,4.5,0.0786507668199399,0.08544229138521803,0.24274382502509784
166,8.55411063835043E18,0.63,0.7,0.04,0.093,52.0,0.3,23.8,4.5,0.15863298335244444,0.08544229138521803,0.4027082580901069
167,8.55411063835043E18,0.65,0.7,0.07,0.093,19.0,0.3,23.8,4.5,0.10312093147907252,0.14437746782453859,0.3506193307826836
168,8.55411063835043E18,0.64,0.7,0.04,0.097,15.0,0.7,23.8,4.5,0.05815278601327799,0.08544229138521803,0.201747863411774
169,8.55411063835043E18,0.63,0.7,0.04,0.093,19.0,0.7,23.8,4.5,0.06601757820458747,0.08544229138521803,0.21747744779439296
170,8.55411063835043E18,0.63,0.7,0.04,0.097,19.0,0.3,23.8,2.9,0.09143828736782053,0.08544229138521803,0.2683188661208591
171,8.55411063835043E18,0.64,0.7,0.04,0.097,19.0,0.3,24.4,4.5,0.06693733949044928,0.08544229138521803,0.21931697036611658
172,8.55411063835043E18,0.65,0.7,0.04,0.097,15.0,0.7,23.8,4.5,0.060604832565574016,0.08544229138521803,0.20665195651636606
173,8.55411063835043E18,0.63,0.7,0.04,0.097,15.0,0.7,23.8,4.5,0.05984858315822529,0.08544229138521803,0.2051394577016686
174,8.55411063835043E18,0.65,0.7,0.04,0.093,15.0,0.6,23.8,4.5,0.06025060102163249,0.08544229138521803,0.205943493428483
175,8.55411063835043E18,0.63,0.7,0.04,0.097,15.0,0.7,17.3,4.5,0.28978470197741063,0.08544229138521803,0.6650116953400393
176,8.55411063835043E18,0.64,0.7,0.04,0.097,11.0,0.3,23.8,4.5,0.06926604544451281,0.08544229138521803,0.22397438227424366
177,8.55411063835043E18,0.65,0.7,0.04,0.093,15.0,0.7,23.8,4.5,0.060604832565574016,0.08544229138521803,0.20665195651636606
178,8.55411063835043E18,0.64,0.7,0.04,0.093,15.0,0.7,23.8,4.5,0.05815278601327799,0.08544229138521803,0.201747863411774
179,8.55411063835043E18,0.64,0.7,0.04,0.093,32.0,0.7,23.8,4.5,0.2812210567214632,0.08544229138521803,0.6478844048281445
